id,query,category,has_ai_overview,ai_overview_text,ai_overview_urls,seo_urls,overlap_count,overlap_ratio,crawled_at
1,당뇨병이란 무엇인가?,정의형,False,관련 링크,,https://www.diabetes.or.kr/general/info/info_01.php|https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=5305|https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000260|https://www.nhis.or.kr/magazin/141/html/c02.html|https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31596|https://sbhosp.seoul.go.kr/archives/583|https://diabeteseducation.novocare.com/content/dam/diabetes-patient/novocare-diabeteseducation/pdfs/Korean/factsheet_What_Is_Diabetes_KOREAN.pdf|http://www.samsunghospital.com/dept/main/index.do?DP_CODE=DM&MENU_ID=001001|https://www.ulsanjoongang.co.kr/content/04diagnosis/08_0304.php,0,0.0,2026-03-23T02:26:34.808892
2,고혈압이란 무엇인가?,정의형,False,관련 링크,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31322|https://www.cmcseoul.or.kr/healthcare/bbs/view.do?idx=135|https://gwhospital.co.kr/board/bbs_view.php?idx=1196&&bbs=health|https://www.drh.co.kr/new/front/index.php?page=10&g_page=community&m_page=community04&bb_code=608k0100pka86cc&view=read&wd=7|https://ko.wikipedia.org/wiki/%EA%B3%A0%ED%98%88%EC%95%95|https://hqcenter.snu.ac.kr/archives/jiphyunjeon/%EA%B3%A0%ED%98%88%EC%95%95|https://www.cnuh.co.kr/rcc/sub03_03.do|https://m.blog.naver.com/PostView.naver?blogId=ecmcism&logNo=70175541872|https://namu.wiki/w/%EA%B3%A0%ED%98%88%EC%95%95|https://www.bdbonim.co.kr/blank-23,0,0.0,2026-03-23T02:27:07.618115
3,갑상선이란 무엇인가?,정의형,False,,,https://healthcare.cmcseoul.or.kr/bbs/view.do?idx=138|http://samsunghospital.com/dept/medical/diseaseSub03View.do?content_id=1027&DP_CODE=CIC&MENU_ID=004027015&ds_code=D0004114|https://www.amc.seoul.kr/asan/healthinfo/body/bodyDetail.do?bodyId=3|https://blog.naver.com/thyroidx/222780718406|http://www.cnubh.com/health/medicine/info.cs?act=view&infoId=601&searchKeyword=&searchCondition=&pageIndex=1|https://www.msdmanuals.com/ko/home/%EA%B8%B0%EB%B3%B8-%EC%A0%95%EB%B3%B4-%ED%98%B8%EB%A5%B4%EB%AA%AC-%EB%B0%8F-%EB%8C%80%EC%82%AC-%EC%9E%A5%EC%95%A0/%EA%B0%91%EC%83%81%EC%84%A0-%EC%9E%A5%EC%95%A0/%EA%B0%91%EC%83%81%EC%84%A0-%EA%B0%9C%EC%9A%94|http://www.hangun.com/common/page/m25/m2518.ps1?v=3|https://www.snuh.org/health/myDoctor/view.do?seq_no=15|https://wellsu.co.kr/%EA%B0%91%EC%83%81%EC%84%A0%ED%81%B4%EB%A6%AC%EB%8B%89/%EA%B0%91%EC%83%81%EC%84%A0%EC%9D%B4%EB%9E%80/,0,0.0,2026-03-23T02:27:37.290922
4,대사증후군이란 무엇인가?,정의형,False,관련 링크,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32084|https://seoul.eumc.ac.kr/health/nutrition/view.do?bbs_no=21032|https://www.ydp.go.kr/health/contents.do?key=3584|https://blog.naver.com/mykbsmc2780/222257469089)|https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000261|https://health.gangnam.go.kr/web/business/promotion/sub02.do|https://namu.wiki/w/%EB%8C%80%EC%82%AC%EC%A6%9D%ED%9B%84%EA%B5%B0|https://www.ksmbs.or.kr/content/general/02.php|http://www.samsunghospital.com/m/healthInfo/content/contenView.do?CONT_SRC=HOMEPAGE&CONT_SRC_ID=29119&CONT_CLS_CD=001021002006&CONT_ID=4303,0,0.0,2026-03-23T02:28:09.116558
5,공황장애란 무엇인가?,정의형,False,,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31583|https://www.ncmh.go.kr/ncmh/board/boardView.do;jsessionid=7poui8ugIxs5kkrcvnoxFvxa8smOJwF870jt8I4q9PQ0mOovlQzqQouEi8XC8bM4.mohwwas2_servlet_engine1?no=5324&fno=39&bn=newsView&menu_cd=02_06_01&bno=&pageIndex=1&search_item=&search_content=|https://www.stcarollo.or.kr/0401/6241|https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000344|https://www.ncmh.go.kr/ncmh/board/boardView.do;jsessionid=PVSyTo4xSmvh358neCrhOdAPxQ9kC2vYkGVCOUHFmU5dUU2GvZjHZ8LYQNzrIaDF.mohwwas1_servlet_engine1?no=75&fno=41&bn=newsView&menu_cd=02_06_02_01&bno=&pageIndex=&search_item=&search_content=|https://www.msdmanuals.com/ko/home/%EC%A0%95%EC%8B%A0-%EA%B1%B4%EA%B0%95-%EC%9E%A5%EC%95%A0/%EB%B6%88%EC%95%88-%EB%B0%8F-%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%8A%A4-%EC%9A%94%EC%9D%B8-%EA%B4%80%EB%A0%A8-%EC%9E%A5%EC%95%A0/%EA%B3%B5%ED%99%A9-%EB%B0%9C%EC%9E%91%EA%B3%BC-%EA%B3%B5%ED%99%A9-%EC%9E%A5%EC%95%A0|https://www.najumh.go.kr/html/content.do?depth=fc&menu_cd=02_03_00_01|https://uemc.ac.kr/clinic/clinic_pg01_01_08.jsp?str_page=4&dept=ABNAAA&board_sequence=1160&board_code=BOARD_98|https://blog.naver.com/mykbsmc2780/223416921649|https://www.schmc.ac.kr/bucheon/selectBbsNttView.do?key=1006&bbsNo=203&nttNo=144568&searchCtgry=&searchCnd=all&searchKrwd=&pageIndex=1&integrDeptCode=|https://www.ish.or.kr/main/contents.do?proc_type=view&a_num=59554013&b_num=6185,0,0.0,2026-03-23T02:28:32.667794
6,우울증이란 무엇인가?,정의형,False,관련 링크,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31581|http://www.cnuhh.com/health/medicine/info.cs?act=view&infoId=823|https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000353|https://www.jesushospital.com/post/3425|https://www.schmc.ac.kr/bucheon/selectBbsNttView.do?key=1006&bbsNo=203&nttNo=144570&searchCtgry=&searchCnd=all&searchKrwd=&pageIndex=1&integrDeptCode=|https://studlife.inha.ac.kr/studlife/10453/subview.do|https://www.happymind-tb.or.kr/index.php?gt=inform/inform02_3|https://namu.wiki/w/%EC%9A%B0%EC%9A%B8%EC%9E%A5%EC%95%A0|http://www.samsunghospital.com/dept/medical/diseaseSub03View.do?content_id=406&DP_CODE=DEP&MENU_ID=004026&ds_code=D0001673|https://counsel.konkuk.ac.kr/counsel/15149/subview.do,0,0.0,2026-03-23T02:29:02.445894
7,조울증이란 무엇인가?,정의형,False,관련 링크,,https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000357|https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31580|https://www.ncmh.go.kr/ncmh/board/boardView.do;jsessionid=j6ZkS57LOtDKhvfvKRSt7tdt7RFLWYqBXPmsZUkmF2lzr4HStZ2m2EC5apa4KDcN.mohwwas2_servlet_engine1?no=128&fno=41&bn=newsView&menu_cd=02_06_02_01&bno=&pageIndex=&search_item=&search_content=|https://namu.wiki/w/%EC%96%91%EA%B7%B9%EC%84%B1%20%EC%9E%A5%EC%95%A0|https://www.gnmhc.or.kr/sub03/sub01_05.php|https://dmhc.co.kr/health/manic|http://www.psychiatricnews.net/news/articleView.html?idxno=18288|https://www.shsmhc.or.kr/sub.php?menukey=47|https://www.gangnam.go.kr/office/smilegn/contents/smilegn_disease3/1/view.do?mid=smilegn_disease3|https://www.youthdgmhc.or.kr/sub.php?menukey=21,0,0.0,2026-03-23T02:29:31.672269
8,ADHD란 무엇인가?,정의형,False,관련 링크,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=33888|https://dmhc.co.kr/health/adhd|https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000358|https://namu.wiki/w/ADHD|https://www.msdmanuals.com/ko/home/%EC%95%84%EB%8F%99%EC%9D%98-%EA%B1%B4%EA%B0%95-%EB%AC%B8%EC%A0%9C/%ED%95%99%EC%8A%B5%EA%B3%BC-%EB%B0%9C%EB%8B%AC-%EC%9E%A5%EC%95%A0/%EC%A3%BC%EC%9D%98%EB%A0%A5-%EA%B2%B0%ED%95%8D-%EA%B3%BC%EC%9E%89%ED%96%89%EB%8F%99-%EC%9E%A5%EC%95%A0-adhd|https://www.brainfitness.org/adhd/|https://www.happymind-tb.or.kr/index.php?gt=inform/inform01|https://www.kacap.or.kr/m/public/public01.php|http://www.bsm.or.kr/webzine/2018/12/sub/01.asp,0,0.0,2026-03-23T02:29:55.745274
9,자폐스펙트럼이란 무엇인가?,정의형,False,,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31896|https://www.cns.or.kr/bbs/disease/list?category=C|https://ko.wikipedia.org/wiki/%EC%9E%90%ED%8F%90_%EC%8A%A4%ED%8E%99%ED%8A%B8%EB%9F%BC|https://www.mentalhealth.go.kr/portal/disease/diseaseDetail.do?dissId=14|http://www.najumh.go.kr/html/content.do?depth=fc&menu_cd=02_05_00_01|https://www.khna.or.kr/homecare/12_child/rearing09.php|https://blog.naver.com/happy_snubh/223092219774|https://namu.wiki/w/%EC%9E%90%ED%8F%90%EC%84%B1%20%EC%9E%A5%EC%95%A0|https://www.snubh.org/service/info/com/view.do?BNO=382&Board_ID=B004&RNUM=3,0,0.0,2026-03-23T02:30:23.877642
10,치매란 무엇인가?,정의형,False,관련 링크,,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31575|https://www.easylaw.go.kr/CSP/CnpClsMain.laf?csmSeq=854&ccfNo=1&cciNo=1&cnpClsNo=1|https://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AB000003|https://new.neuro.or.kr/public/?sn=2&sn2=2|https://www.ncmh.go.kr/ncmh/board/boardView.do;jsessionid=wbbL6HzWp4EC939i1Y1hsJYubKAjq0YuTmLcQU8crOIndb5ytcwGmRaykL4v9I14.mohwwas1_servlet_engine1?no=79&fno=41&bn=newsView&menu_cd=02_06_02_01&bno=&pageIndex=&search_item=&search_content=|https://www.cnubh.com/cnuh/health/disease.cs;WEB_JSESSIONID=ACE3E77CEDFB155150D442E4EEC91040?act=view&infoId=279&searchKeyword=&searchCondition=&pageIndex=37|https://www.mentalhealth.go.kr/portal/disease/diseaseDetail.do?dissId=22|https://www.cnudh.co.kr/cnuh/health/disease.cs?act=view&infoId=279&searchKeyword=&searchCondition=&pageIndex=39|https://ko.wikipedia.org/wiki/%EC%B9%98%EB%A7%A4|http://www.bonebarun.co.kr/news/?bmode=view&idx=170428841,0,0.0,2026-03-23T02:30:49.037641
